"Suburb","Total_Number","BYO_Only","Ordinary_Trading_Hours","Gambling_Allowed"
"ABBOTSFORD",87,2,32,1
"ABERFELDIE",2,0,0,0
"ACHERON",4,0,0,0
"AINTREE",1,0,0,0
"AIREYS INLET",11,1,3,0
"AIRPORT WEST",15,0,10,1
"ALBERT PARK",74,4,33,1
"ALBERTON",2,0,0,0
"ALBERTON WEST",2,0,0,0
"ALBION",7,0,2,0
"ALEXANDRA",15,0,1,0
"ALFREDTON",9,0,5,0
"ALLANS FLAT",2,0,0,0
"ALLANSFORD",6,0,2,0
"ALPHINGTON",21,0,5,0
"ALTONA",49,1,24,3
"ALTONA EAST",1,0,0,0
"ALTONA MEADOWS",9,0,4,0
"ALTONA NORTH",25,1,11,1
"ALVIE",4,0,0,0
"AMHERST",1,0,0,0
"ANAKIE",6,0,2,0
"ANDERSON",1,0,0,0
"ANGLERS REST",1,0,1,0
"ANGLESEA",26,3,7,1
"APOLLO BAY",35,0,21,0
"APSLEY",2,0,0,0
"ARARAT",45,6,9,2
"ARCHIES CREEK",1,0,1,0
"ARDEER",7,0,3,0
"ARDMONA",2,0,0,0
"ARMADALE",53,0,27,0
"ARMSTRONG",4,0,0,0
"ARMSTRONG CREEK",6,0,3,0
"ARNOLD",1,0,0,0
"ARTHURS CREEK",1,0,0,0
"ARTHURS SEAT",5,0,3,0
"ASCOT VALE",59,2,24,0
"ASHBURTON",22,4,11,0
"ASHWOOD",13,3,3,0
"ASPENDALE",12,0,4,0
"ASPENDALE GARDENS",3,0,2,0
"ASPENDALE NORTH",1,0,0,0
"ATHLONE",1,0,0,0
"ATTWOOD",1,0,1,0
"AUBURN",4,0,1,0
"AVALON",1,0,0,0
"AVENEL",13,0,3,0
"AVOCA",16,0,1,0
"AVONDALE HEIGHTS",13,2,6,0
"AVONMORE",1,0,0,0
"AVONSLEIGH",3,0,1,0
"AXEDALE",5,0,0,0
"BACCHUS MARSH",35,2,13,3
"BADDAGINNIE",1,0,0,0
"BADGER CREEK",2,0,0,0
"BAGSHOT",1,0,0,0
"BAILIESTON",1,0,0,0
"BAIRNSDALE",55,1,22,6
"BAIRNSDALE EAST",1,0,0,0
"BAKERY HILL",2,0,1,0
"BALACLAVA",38,0,19,1
"BALLAN",12,1,1,0
"BALLARAT",191,6,64,12
"BALLARAT CENTRAL",22,0,20,0
"BALLARAT EAST",3,0,2,0
"BALMORAL",5,0,2,0
"BALNARRING",31,3,10,0
"BALOOK",1,0,0,0
"BALWYN",43,10,25,0
"BALWYN EAST",1,1,0,0
"BALWYN NORTH",45,9,18,0
"BAMAWM",2,0,0,0
"BAMBRA",2,0,0,0
"BANGHOLME",6,0,1,0
"BANNOCKBURN",16,0,4,0
"BARANDUDA",3,0,2,0
"BARFOLD",2,0,0,0
"BARINGHUP",3,0,1,0
"BARJARG",1,0,1,0
"BARKERS CREEK",2,0,0,0
"BARKLY",1,0,0,0
"BARMAH",1,0,1,0
"BARNAWARTHA",6,0,1,0
"BARNAWARTHA NORTH",1,0,0,0
"BAROMI",1,0,0,0
"BARONGAROOK",4,0,1,0
"BARRABOOL",2,0,1,0
"BARWITE",2,0,0,0
"BARWON HEADS",25,1,9,1
"BASS",2,0,0,0
"BATESFORD",3,0,0,0
"BAXTER",12,0,3,1
"BAYINDEEN",3,0,0,0
"BAYLES",2,0,1,0
"BAYNTON VIA KYNETON",1,0,0,0
"BAYSWATER",42,4,21,2
"BAYSWATER NORTH",4,0,2,0
"BEACON COVE",1,0,0,0
"BEACONSFIELD",28,0,15,1
"BEACONSFIELD UPPER",8,0,1,0
"BEALIBA",1,0,1,0
"BEARII",1,0,0,0
"BEAUFORT",12,0,5,0
"BEAUMARIS",44,2,27,0
"BEEAC",2,0,1,0
"BEECH FOREST",2,0,1,0
"BEECHWORTH",57,0,17,0
"BELGRAVE",30,5,13,0
"BELGRAVE SOUTH",5,0,3,0
"BELL PARK",7,0,4,0
"BELL POST HILL",3,0,1,0
"BELLARINE",9,0,3,0
"BELLBRAE",4,0,3,0
"BELLFIELD",1,0,0,0
"BELMONT",45,3,19,1
"BEMM RIVER",1,0,0,0
"BENALLA",48,2,15,3
"BENAMBRA",3,0,1,0
"BENDIGO",193,6,61,7
"BENDIGO EAST",5,0,0,0
"BENDOC",1,0,1,0
"BENNETSWOOD",1,0,1,0
"BENTLEIGH",55,5,35,1
"BENTLEIGH EAST",55,6,25,2
"BERRIWILLOCK",3,0,1,0
"BERRYS CREEK",1,0,0,0
"BERWICK",65,3,32,1
"BERWICK SOUTH",2,0,1,1
"BETHANGA",5,0,1,0
"BEULAH",4,0,0,0
"BEVERFORD",2,0,0,0
"BEVERIDGE",3,0,1,0
"BIG HILL  LOCKWOOD SOUTH",1,0,0,0
"BIGHILL",1,0,0,0
"BINGINWARRI",1,0,0,0
"BIRCHIP",8,0,2,0
"BIRDWOODTON",1,0,0,0
"BIRREGURRA",7,0,1,0
"BITTERN",12,1,3,0
"BLACK HILL",1,0,0,0
"BLACK ROCK",41,2,17,0
"BLACKBURN",35,4,17,1
"BLACKBURN NORTH",9,1,3,0
"BLACKBURN SOUTH",11,2,6,0
"BLACKROCK",1,0,1,0
"BLACKWOOD",5,0,3,0
"BLAIRGOWRIE",12,0,6,0
"BLAMPIED",3,0,0,0
"BLIND BIGHT",3,0,1,0
"BOBINAWARRAH",1,0,0,0
"BOBINAWARRAH EAST",1,0,0,0
"BOCHARA",1,0,0,0
"BOGONG",2,0,1,0
"BOISDALE",2,0,0,0
"BOLWARRA",1,0,0,0
"BONBEACH",10,0,3,0
"BONEGILLA",2,0,0,0
"BONEO",5,0,1,0
"BONNIE DOON",7,0,4,0
"BOOLARRA",3,0,0,0
"BOORCAN",1,0,0,0
"BOORHAMAN",2,0,1,0
"BOORT",12,3,1,0
"BORONIA",47,5,23,1
"BORONIA HEIGHTS",1,0,1,0
"BOUNDARY BEND",1,0,1,0
"BOX HILL",107,11,60,2
"BOX HILL NORTH",11,1,6,0
"BOX HILL SOUTH",13,1,9,0
"BRAESIDE",22,0,7,1
"BRANXHOLME",3,0,0,0
"BRAYBROOK",24,1,12,2
"BREAKWATER",7,0,1,2
"BREAMLEA",1,0,0,0
"BRIAGOLONG",2,0,0,0
"BRIAR HILL",3,0,2,0
"BRIDGEWATER",3,0,0,0
"BRIDGEWATER ON LODDON",3,0,1,0
"BRIGHT",51,1,27,1
"BRIGHTON",129,3,69,3
"BRIGHTON BEACH",2,0,0,0
"BRIGHTON EAST",24,1,8,0
"BRIGHTON NORTH",3,1,0,0
"BRIM",3,0,1,0
"BRIMIN",1,0,0,0
"BRIMPAEN",1,0,1,0
"BROADFORD",14,1,1,0
"BROADMEADOWS",23,1,12,0
"BROOKLYN",3,0,1,0
"BROWN HILL",2,0,0,0
"BROWNS PLAINS",2,0,0,0
"BRUNSWICK",169,13,66,5
"BRUNSWICK EAST",99,5,46,1
"BRUNSWICK NORTH",1,1,0,0
"BRUNSWICK WEST",28,1,14,0
"BRUTHEN",7,0,2,0
"BUANGOR",1,0,0,0
"BUCHAN",4,0,1,0
"BUCKLAND VALLEY",1,0,0,0
"BUCKLEY",1,0,0,0
"BUFFALO RIVER",2,0,0,0
"BULLA",2,0,0,0
"BULLEEN",27,1,8,3
"BULN BULN",2,0,0,0
"BUNBARTHA",1,0,0,0
"BUNDALAGUAH",1,0,0,0
"BUNDALONG",4,0,2,0
"BUNDOORA",78,7,36,1
"BUNGAREE",3,0,0,0
"BUNINYONG",13,1,5,0
"BUNYIP",8,1,2,0
"BURNLEY",1,0,1,0
"BURNSIDE",4,0,1,0
"BURNSIDE HEIGHTS",1,0,0,0
"BURRAMINE",2,0,0,0
"BURWOOD",27,5,8,0
"BURWOOD EAST",34,1,17,0
"BUSHFIELD",1,0,0,0
"BUXTON",6,1,1,0
"BYADUK",1,0,0,0
"BYAWATHA",1,0,0,0
"CAIRNLEA",8,0,4,0
"CALDERMEADE",1,0,0,0
"CALIFORNIA GULLY",2,0,0,0
"CALIVIL",2,0,0,0
"CAMBERWELL",111,19,58,1
"CAMBERWELL SOUTH",1,0,1,0
"CAMBRIAN HILL",1,0,0,0
"CAMPBELLFIELD",28,0,8,2
"CAMPBELLS CREEK",3,0,1,0
"CAMPBELLTOWN",1,0,1,0
"CAMPERDOWN",18,1,6,1
"CANN RIVER",4,1,1,0
"CANTERBURY",14,1,8,0
"CAPE BRIDGEWATER",2,0,1,0
"CAPE CLEAR",1,0,1,0
"CAPE OTWAY",3,0,1,0
"CAPE PATERSON",2,1,0,0
"CAPE SCHANCK",7,0,0,0
"CAPE SCHANK",1,0,0,0
"CAPE WOOLAMAI",5,0,5,0
"CARAMUT",2,0,1,0
"CARAPOOEE WEST",1,0,0,0
"CARDIGAN",2,0,0,0
"CARDINIA",2,0,1,0
"CARDINIA LAKES",1,0,1,0
"CARDROSS",4,0,1,0
"CARISBROOK",10,1,3,0
"CARLSRUHE",2,0,0,0
"CARLTON",186,2,82,1
"CARLTON NORTH",58,4,25,0
"CARNEGIE",79,7,48,1
"CARNGHAM",1,0,0,0
"CAROLINE SPRINGS",36,3,20,2
"CARRAJUNG LOWER",2,0,0,0
"CARRANBALLAC",1,0,0,0
"CARRUM",14,0,8,0
"CARRUM DOWNS",35,1,16,1
"CASSILIS",2,0,0,0
"CASTERTON",11,1,3,0
"CASTLEMAINE",50,0,29,1
"CATANI",4,0,0,0
"CATHCART",2,0,0,0
"CAULFIELD",27,4,10,2
"CAULFIELD EAST",11,3,7,1
"CAULFIELD NORTH",17,0,7,0
"CAULFIELD SOUTH",24,2,15,0
"CAVEAT VIA SEYMOUR",1,0,0,0
"CAVENDISH",3,0,1,0
"CERES",1,0,0,0
"CHADSTONE",43,2,28,1
"CHARLTON",14,1,4,0
"CHELSEA",28,0,17,2
"CHELSEA HEIGHTS",10,2,4,1
"CHELTENHAM",86,2,41,3
"CHESHUNT",6,0,1,0
"CHEWTON",2,1,1,0
"CHILTERN",10,1,3,0
"CHILWELL",1,0,0,0
"CHIRNSIDE PARK",30,0,10,1
"CHUM CREEK",1,0,0,0
"CHURCHILL",9,1,2,0
