"Category","Trading Hours","Maximum Capacity","Suburb","Postcode","Latitude","Longitude","Region","Gaming"
"BYO Permit","Unspecified","Unspecified","MT BULLER","3723","-37.14630500","146.45227600","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","GREENVALE","3047","-37.63169300","144.85697500","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","FALLS CREEK","3699","-36.86488200","147.27841300","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MT BULLER","3723","-37.14695700","146.45464800","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","CAULFIELD","3162","-37.87230300","145.02319600","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","BALWYN NORTH","3104","-37.79734200","145.09382700","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","MT BULLER","3723","-37.14675700","146.45379400","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","HAMILTON","3300","-37.74565019","142.02486950","Barwon South-West","Not allowed"
"BYO Permit","Unspecified","Unspecified","MT BULLER","3723","-37.14700700","146.45289300","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3722","-37.14671550","146.45046130","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MERRIJIG","3723","-37.08333500","146.24405300","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MT HOTHAM","3741","-36.98654090","147.14991110","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","HASTINGS","3915","-38.31068200","145.19686500","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14851753","146.44525670","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","NOBLE PARK","3174","-37.96430000","145.18743300","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","MT ELIZA","3930","-38.17266300","145.08208800","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","POINT LEO","3916","-38.42225370","145.07594630","Metro South","Not allowed"
